Initials,Group (choose from drop down),Trial #,Flavour,Reaction time (in sec),"Accuracy (0=incorrect, 1=correct)",,,,,,,,,,,,,,,,,,,,,
MLM,control,1,Purple ,24,1,,,,,,,,,,,,,,,,,,,,,
SMS,experimental,1,Purple,36,1,,,,,,,,,,,,,,,,,,,,,
SMS,experimental,2,Orange,20,1,,,,,,,,,,,,,,,,,,,,,
SMS,experimental,3,Red,41,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DN,control,1,Orange,8.6,1,,,,,,,,,,,,,,,,,,,,,
DN,control,2,Yellow White,15.5,1,,,,,,,,,,,,,,,,,,,,,
DN,control,3,Yellow Brown,12.6,1,,,,,,,,,,,,,,,,,,,,,
KS,experimental,1,Yellow White,17.8,0,,,,,,,,,,,,,,,,,,,,,
KS,experimental,2,White,21.5,0,,,,,,,,,,,,,,,,,,,,,
KS,experimental,3,Orange,Lemon,0,,,,,,,,,,,,,,,,,,,,,
RAN,control,1,Cherry,7.63,1,,,,,,,,,,,,,,,,,,,,,
RAN,control,2,Coconut,24.82,0,,,,,,,,,,,,,,,,,,,,,
RAN,control,3,Orange,3.2,1,,,,,,,,,,,,,,,,,,,,,
AVR,experimental,1,Lemon,21.53,0,,,,,,,,,,,,,,,,,,,,,
AVR,experimental,2,Grape,10.75,1,,,,,,,,,,,,,,,,,,,,,
AVR,experimental,3,Orange,17.55,0,,,,,,,,,,,,,,,,,,,,,
BP,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
KAM,control,1,Orange,7.7,1,,,,,,,,,,,,,,,,,,,,,
KAM,control,2,Lemon,13.9,0,,,,,,,,,,,,,,,,,,,,,
KAM,control,3,Lime,10.1,0,,,,,,,,,,,,,,,,,,,,,
ECT,experimental,1,Orange,19.9,0,,,,,,,,,,,,,,,,,,,,,
ECT,experimental,2,Banana,18.2,1,,,,,,,,,,,,,,,,,,,,,
ECT,experimental,3,Grape,7.1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,control,1,Banana,25.44,1,,,,,,,,,,,,,,,,,,,,,
,control,2,Grape,8.67,1,,,,,,,,,,,,,,,,,,,,,
,control,3,Orange,17.45,0,,,,,,,,,,,,,,,,,,,,,
KA,experimental,1,Banana,43.35,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,Lemon,10.76,1,,,,,,,,,,,,,,,,,,,,,
,experimental,3,Orange,33.4,0,,,,,,,,,,,,,,,,,,,,,
BP,experimental,1,orange,36.74,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,purple,18.57,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,yellow and white,31.24,0,,,,,,,,,,,,,,,,,,,,,
EW,control,1,purple,4.89,1,,,,,,,,,,,,,,,,,,,,,
,control,2,orange,15.95,0,,,,,,,,,,,,,,,,,,,,,
,control,3,yellow and brown,,1,,,,,,,,,,,,,,,,,,,,,
